/home/bciuser/projects/neural_seq_decoder/.venv/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/bciuser/projects/neural_seq_decoder/src/neural_decoder/augmentations.py:91: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at ../aten/src/ATen/native/Convolution.cpp:895.)
  return self.conv(input, weight=self.weight, groups=self.groups, padding="same")
/home/bciuser/projects/neural_seq_decoder/src/neural_decoder/neural_decoder_trainer.py:211: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  torch.tensor(pred[iterIdx, 0 : adjustedLens[iterIdx], :]),
batch 0, ctc loss: 8.337385, cer: 0.961702, time/batch:   0.126, lr: 0.019998
batch 100, ctc loss: 5.132204, cer: 0.963683, time/batch:   2.722, lr: 0.019848
batch 200, ctc loss: 4.819495, cer: 0.963683, time/batch:   2.858, lr: 0.019698
batch 300, ctc loss: 5.301507, cer: 0.963683, time/batch:   2.801, lr: 0.019548
batch 400, ctc loss: 14.231672, cer: 0.945813, time/batch:   2.782, lr: 0.019398
batch 500, ctc loss: 12.461137, cer: 0.963683, time/batch:   2.778, lr: 0.019248
batch 600, ctc loss: 5.422465, cer: 0.963683, time/batch:   2.783, lr: 0.019098
batch 700, ctc loss: 3.593037, cer: 0.946886, time/batch:   2.747, lr: 0.018948
batch 800, ctc loss: 3.577873, cer: 0.946886, time/batch:   2.759, lr: 0.018798
batch 900, ctc loss: 3.587180, cer: 0.946886, time/batch:   2.833, lr: 0.018648
batch 1000, ctc loss: 8.032130, cer: 0.954521, time/batch:   2.801, lr: 0.018498
batch 1100, ctc loss: 9.314665, cer: 0.963683, time/batch:   2.819, lr: 0.018348
batch 1200, ctc loss: 8.228174, cer: 0.949280, time/batch:   2.750, lr: 0.018198
batch 1300, ctc loss: 6.587623, cer: 0.946886, time/batch:   2.810, lr: 0.018048
batch 1400, ctc loss: 4.970251, cer: 0.945813, time/batch:   2.803, lr: 0.017898
batch 1500, ctc loss: 3.611293, cer: 0.954521, time/batch:   2.807, lr: 0.017748
batch 1600, ctc loss: 3.590532, cer: 0.946886, time/batch:   2.790, lr: 0.017598
batch 1700, ctc loss: 10.375053, cer: 0.946886, time/batch:   2.862, lr: 0.017448
batch 1800, ctc loss: 25.414989, cer: 0.971896, time/batch:   2.843, lr: 0.017298
batch 1900, ctc loss: 97.379264, cer: 0.953242, time/batch:   2.669, lr: 0.017148
batch 2000, ctc loss: 30.820548, cer: 0.973711, time/batch:   2.826, lr: 0.016998
batch 2100, ctc loss: 6.076550, cer: 0.946886, time/batch:   2.723, lr: 0.016848
batch 2200, ctc loss: 4.038713, cer: 0.946886, time/batch:   2.780, lr: 0.016698
batch 2300, ctc loss: 3.668305, cer: 0.945813, time/batch:   2.790, lr: 0.016548
batch 2400, ctc loss: 3.608525, cer: 0.946886, time/batch:   2.756, lr: 0.016398
batch 2500, ctc loss: 3.570277, cer: 0.946886, time/batch:   2.824, lr: 0.016248
batch 2600, ctc loss: 3.591104, cer: 0.945813, time/batch:   2.713, lr: 0.016098
batch 2700, ctc loss: 3.550378, cer: 0.946886, time/batch:   2.816, lr: 0.015948
batch 2800, ctc loss: 3.576823, cer: 0.945813, time/batch:   2.796, lr: 0.015798
batch 2900, ctc loss: 3.560078, cer: 0.946886, time/batch:   2.853, lr: 0.015648
batch 3000, ctc loss: 3.582772, cer: 0.945813, time/batch:   2.783, lr: 0.015498
batch 3100, ctc loss: 3.649960, cer: 0.946886, time/batch:   2.764, lr: 0.015348
batch 3200, ctc loss: 4.568271, cer: 0.937394, time/batch:   2.814, lr: 0.015198
batch 3300, ctc loss: 3.581110, cer: 0.937394, time/batch:   2.860, lr: 0.015048
batch 3400, ctc loss: 4.513474, cer: 0.945813, time/batch:   2.813, lr: 0.014898
batch 3500, ctc loss: 3.759531, cer: 0.945813, time/batch:   2.801, lr: 0.014748
batch 3600, ctc loss: 3.590921, cer: 0.946886, time/batch:   2.787, lr: 0.014598
batch 3700, ctc loss: 3.594479, cer: 0.945813, time/batch:   2.810, lr: 0.014448
batch 3800, ctc loss: 3.587229, cer: 0.946886, time/batch:   2.788, lr: 0.014298
batch 3900, ctc loss: 8.263212, cer: 0.945813, time/batch:   2.777, lr: 0.014148
batch 4000, ctc loss: 18.257607, cer: 0.959597, time/batch:   2.805, lr: 0.013998
batch 4100, ctc loss: 4.267682, cer: 0.945813, time/batch:   2.770, lr: 0.013848
batch 4200, ctc loss: 3.561584, cer: 0.945813, time/batch:   2.733, lr: 0.013698
batch 4300, ctc loss: 3.563091, cer: 0.945813, time/batch:   2.746, lr: 0.013548
batch 4400, ctc loss: 3.576485, cer: 0.945813, time/batch:   2.789, lr: 0.013398
batch 4500, ctc loss: 3.608234, cer: 0.937394, time/batch:   2.802, lr: 0.013248
batch 4600, ctc loss: 3.550762, cer: 0.946886, time/batch:   2.754, lr: 0.013098
batch 4700, ctc loss: 3.610022, cer: 0.946886, time/batch:   2.811, lr: 0.012948
batch 4800, ctc loss: 3.677758, cer: 0.946886, time/batch:   2.815, lr: 0.012798
batch 4900, ctc loss: 7.164862, cer: 0.945813, time/batch:   2.755, lr: 0.012648
batch 5000, ctc loss: 16.339020, cer: 0.945813, time/batch:   2.762, lr: 0.012498
batch 5100, ctc loss: 26.992990, cer: 0.936445, time/batch:   2.798, lr: 0.012348
batch 5200, ctc loss: 4.742693, cer: 0.945813, time/batch:   2.917, lr: 0.012198
batch 5300, ctc loss: 3.721830, cer: 0.946886, time/batch:   2.862, lr: 0.012048
